ID,Created,Name,Description,Playlist URL
580e194f77f74c6baafa521c4bd9fa2a,2026-04-29T15:22:52Z,Opening Credits,A song that would play over the intro credits of your life.,https://open.spotify.com/playlist/4Q0TClTa0yxWrEsS2MsnWg
dbeb93f425f14b2ba64b022a40bac943,2026-04-29T15:23:50Z,Memorial Day Songs,"Remembrance, sacrifice, patriotism, and reflection.",https://open.spotify.com/playlist/3SZfrDx8kwgpXGcHigv2cg
d97e49cee1ed4dc486d8119a5b0b0518,2026-04-29T15:25:12Z,Alternative Rock,"Guitars, edge, attitude. Keep it alt.",https://open.spotify.com/playlist/5daFix3UszHngnZls56ovU
1a4f47470b4448d1883eccdb9a075f87,2026-04-29T15:25:22Z,Running Music,"High BPM, steady rhythm. Pure momentum.",https://open.spotify.com/playlist/7MfFPWGN3qoGKyw63Y8so7
40b8afa15cda4557b7e7a8cd1d5ed7a2,2026-04-29T15:25:36Z,Underrated Songs,Criminally overlooked tracks that deserve more love.,https://open.spotify.com/playlist/0lAnsCyHU851IvHmrBf81j
2bf39e2a386c49d38ec18ebbca7cd969,2026-04-29T15:25:47Z,Sounds Like Summer,"Sun-soaked vibes, breezy hooks, warm energy.",https://open.spotify.com/playlist/0axMPITv3NqPu1poIqALQu
9c5839cfb99546ff8ef8a07661b611a9,2026-04-29T15:25:56Z,Move Over Boomer,Songs you grew up with that somehow count as oldies now.,https://open.spotify.com/playlist/2ydlMvo6JP1DUAQTKWgF1X
7970e924778f4a0181aa765fac73c2d5,2026-04-29T15:26:16Z,Independence Day Songs,"Americana, protest, celebration. 4th of July energy.",https://open.spotify.com/playlist/5YpE2XN0AAWZbwXnLCgbkg
4b02231a907f4a5e9640c2bd97de3115,2026-04-29T15:26:29Z,Four on the Floor,Disco week. Classic disco to modern nu-disco.,https://open.spotify.com/playlist/1LKiZjaXXm3xDZySSzezPD
131d9dc4fe4f4b438fbfac84198648d2,2026-04-29T15:26:39Z,Favorite Showtune,"Broadway only. Big voices, big drama.
Start scouting your picks now. This stretch is loaded.",https://open.spotify.com/playlist/2mDW3FAyZ4brGrHk0V550i
